Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Country,Region,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change
El Cert SEK Deferred Settlement Future Forward,Future,Energy,Nasdaq Commodities,Sweden,Europe,Nasdaq,"1,136",54.56%,15.45%,"10,857",5.27%,65.50%
Electricity,Future,Energy,Borsa Italiana (IDEM),Italy,Europe,London Stock Exchange Group,50,66.67%,-54.13%,531,-25.32%,-5.85%
Electricity,Future,Energy,SGX,Singapore,Asia,Singapore Exchange,128,-4.48%,-40.19%,"1,009",7.91%,21.27%
MISO Michigan Hub 5 MW Off-Peak Calendar-Month Day-Ahead (HMO),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"98,280",-16.26%,-49.17%
Electricity Base Load $300 CAP Quarterly NSW (GN),Future,Energy,ASX 24,Australia,Asia,ASX,405,-59.05%,-46.71%,"3,066",6.50%,4.71%
Electricity Base Load $300 CAP Quarterly QLD (GQ),Future,Energy,ASX 24,Australia,Asia,ASX,496,-47.62%,-30.73%,"3,310",11.00%,10.81%
Electricity Base Load $300 CAP Quarterly SA (GS),Future,Energy,ASX 24,Australia,Asia,ASX,17,-83.81%,88.89%,239,6.22%,63.70%
Electricity Base Load $300 CAP Quarterly VIC (GV),Future,Energy,ASX 24,Australia,Asia,ASX,158,-77.17%,-60.60%,"2,283",3.49%,-0.22%
Electricity Base Load $300 Cap Strip RN,Future,Energy,ASX 24,Australia,Asia,ASX,20,-71.43%,-87.10%,0,,
Electricity Base Load $300 Cap Strip RQ,Future,Energy,ASX 24,Australia,Asia,ASX,85,750.00%,70.00%,0,,
MISO Michigan Hub 5 MW Peak Calendar-Month Day-Ahead (HMW),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"6,340",-14.78%,-51.32%
MSCI Canada NTR (USD) (FMCA),Future,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,,1,0.00%,
MSCI Czech Rep (FMCZ),Future,Equity,Eurex,Germany,Europe,Eurex,0,,,306,0.00%,
Electricity Base Load Monthly VIC EV,Future,Energy,ASX 24,Australia,Asia,ASX,1,-50.00%,-95.45%,10,-9.09%,-54.55%
Electricity Base Load Quarterly NSW,Future,Energy,ASX 24,Australia,Asia,ASX,"3,085",-27.17%,60.51%,"6,665",4.14%,-10.03%
Electricity Base Load Quarterly NSW,Option,Energy,ASX 24,Australia,Asia,ASX,230,400.00%,17.95%,805,34.17%,-34.82%
Electricity Base Load Quarterly QLD,Future,Energy,ASX 24,Australia,Asia,ASX,"1,552",-59.76%,-31.72%,"10,265",5.85%,-11.96%
Electricity Base Load Quarterly QLD,Option,Energy,ASX 24,Australia,Asia,ASX,26,-7.14%,-94.16%,"1,504",1.76%,-3.34%
Electricity Base Load Quarterly SA,Future,Energy,ASX 24,Australia,Asia,ASX,32,-90.00%,-82.80%,"1,083",2.07%,-7.75%
Electricity Base Load Quarterly SA,Option,Energy,ASX 24,Australia,Asia,ASX,10,,-85.71%,110,0.00%,44.74%
Electricity Base Load Quarterly VIC,Future,Energy,ASX 24,Australia,Asia,ASX,"1,968",-59.85%,-18.98%,"10,976",3.09%,31.75%
Electricity Base Load Quarterly VIC,Option,Energy,ASX 24,Australia,Asia,ASX,293,40.87%,6.55%,"1,382",20.07%,-35.03%
Electricity Base Load Strip NSW,Future,Energy,ASX 24,Australia,Asia,ASX,517,11.66%,90.77%,0,,
Electricity Base Load Strip NSW,Option,Energy,ASX 24,Australia,Asia,ASX,128,,-63.43%,"1,507",8.11%,34.55%
Electricity Base Load Strip QLD,Future,Energy,ASX 24,Australia,Asia,ASX,145,-33.49%,-29.27%,0,,
Electricity Base Load Strip QLD,Option,Energy,ASX 24,Australia,Asia,ASX,253,-23.33%,-39.76%,"2,796",3.63%,37.60%
Electricity Base Load Strip SA,Future,Energy,ASX 24,Australia,Asia,ASX,3,,-88.00%,0,,
Electricity Base Load Strip SA,Option,Energy,ASX 24,Australia,Asia,ASX,15,,,15,,-80.00%
Electricity Base Load Strip VIC,Future,Energy,ASX 24,Australia,Asia,ASX,224,-38.96%,-30.22%,0,,
Electricity Base Load Strip VIC,Option,Energy,ASX 24,Australia,Asia,ASX,66,-79.69%,32.00%,"2,787",1.49%,11.44%
Electricity Peak Load Quarterly NSW,Future,Energy,ASX 24,Australia,Asia,ASX,9,-97.41%,-82.69%,508,0.99%,-21.00%
Electricity Peak Load Quarterly QLD,Future,Energy,ASX 24,Australia,Asia,ASX,105,105.88%,14.13%,542,22.62%,69.91%
MSCI EAFE Index,Future,Equity,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,0,,-100.00%,26,0.00%,-38.10%
Electricity Peak Load Quarterly VIC,Future,Energy,ASX 24,Australia,Asia,ASX,42,-77.17%,-69.57%,730,5.64%,11.62%
MSCI Egypt,Future,Equity,Eurex,Germany,Europe,Eurex,0,,,47,0.00%,213.33%
Electricity Peak Load Strip QLD DQ,Future,Energy,ASX 24,Australia,Asia,ASX,10,,,0,,
MSCI EM EMEA Index,Future,Equity,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,0,,,787,0.00%,
Electricity Price Area Difference Nordic Power Base (Month),Future,Energy,Nasdaq Commodities,Sweden,Europe,Nasdaq,"3,997",76.31%,199.63%,"14,654",-32.21%,124.69%
Electricity Price Area Difference Nordic Power Base (Quarter),Future,Energy,Nasdaq Commodities,Sweden,Europe,Nasdaq,"1,204",34.53%,-20.26%,"10,514",9.84%,30.62%
Electricity Price Area Difference Nordic Power Base (Week),Future,Energy,Nasdaq Commodities,Sweden,Europe,Nasdaq,109,,,0,,
Electricity Price Area Difference Nordic Power Base (Year),Future,Energy,Nasdaq Commodities,Sweden,Europe,Nasdaq,661,47.87%,-0.15%,"7,990",5.88%,8.71%
MSCI EM Lat Am Index,Future,Equity,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,0,,-100.00%,24,0.00%,-76.24%
MSCI Emerging Markets Asia (OMEA),Option,Equity,Eurex,Germany,Europe,Eurex,0,,-100.00%,"8,387",0.00%,105.71%
Energy,Future,Energy,SGX,Singapore,Asia,Singapore Exchange,555,-36.13%,-6.72%,"1,132",-26.49%,140.85%
EOM E-mini S&P 500 Index,Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"2,080,680",53.99%,28.95%,"777,597",10.11%,13.19%
EOM S&P 500 Index,Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"192,110",17.21%,62.50%,"106,161",79.17%,-20.08%
EOW1 E-mini S&P 500,Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"940,366",3.13%,-21.13%,"327,874",-15.20%,-13.86%
EOW1 S&P 500,Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"91,082",-27.75%,13.97%,"68,596",-32.60%,10.31%
EOW2 E-mini S&P 500,Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"1,383,549",65.52%,34.07%,"255,947",78.77%,16.98%
EOW2 S&P 500,Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"197,130",23.52%,43.39%,"44,983",216.92%,105.79%
EOW3 E-mini S&P 500,Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"3,575,196",20.85%,19.71%,"825,107",-26.26%,6.33%
EOW3 S&P 500,Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"375,215",-2.93%,26.13%,"121,605",-29.41%,-17.53%
EOW4 E-mini S&P 500,Option,Equity,Chicago Mercantile Exchange,United States,North America,CME Group,"1,275,028",58.99%,21.03%,"109,048",110.90%,51.22%
Equity Can-Do,Future,Equity,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"58,318",90.26%,-47.12%,"301,241",-0.83%,-60.35%
Equity Can-Do,Option,Equity,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"100,397",11.92%,-85.00%,"222,915",-19.56%,-54.14%
ERCOT Houston 345 kV Hub 5 MW Peak (I1),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"2,200",,,"3,880",130.95%,
ERCOT Houston 345 KV Hub Real-Time Off-Peak Financial (50 MWh) (HEBQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,"6,404",,,"6,404",,
ERCOT Houston 345 KV Hub Real-Time Peak Financial (50 MW) (ERHQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,132,,,384,52.38%,
ERCOT North 345 kV Hub 5 MW Off-Peak (I6),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"21,200",,,"21,200",,167.51%
MSCI Emerging Markets NTR (EUR) (OMEN),Option,Equity,Eurex,Germany,Europe,Eurex,0,,,"11,643",0.00%,-11.19%
ERCOT North 345 kV Hub 5 MW Peak (I5),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"2,200",,,"3,880",130.95%,559.86%
MSCI EMU Net Total Return EUR - Standard Index,Future,Equity,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,0,,-100.00%,"10,414",0.00%,-36.48%
MSCI EMU NTR (EUR) (FMMU),Future,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,-100.00%,"5,700",0.00%,2180.00%
MSCI Europe,Option,Equity,Eurex,Germany,Europe,Eurex,0,,,"3,623",0.00%,-94.80%
ERCOT North 345 KV Hub Real-Time Off-Peak Financial (50 MWH) (NEBQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,"8,524",,,"5,132",,
ERCOT North 345 KV Hub Real-Time Peak Financial (50 MW) (ERNQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,476,,268.99%,989,92.79%,465.14%
Eris CDX HY Credit Index 5Y,Future,Other,ICE Futures U.S.,United States,North America,Intercontinental Exchange,117,-88.65%,-64.22%,185,8.82%,-83.83%
Eris CDX IG Credit Index 5Y,Future,Other,ICE Futures U.S.,United States,North America,Intercontinental Exchange,"1,074",-64.50%,-50.32%,"1,450",206.55%,14.17%
MSCI Europe Consumer Stap NTR (EUR) Index,Future,Equity,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,0,,,233,0.00%,-28.31%
ERIS Standard EUR 2 Year 0.00% Interest Rate,Future,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,430,-36.39%,-42.97%,559,-34.16%,22.05%
ERIS Standard EUR 2 Year 0.50% Interest Rate,Future,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,280,-24.32%,,520,116.67%,
ERIS Standard EUR 5 Year 0.25% Interest Rate,Future,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,30,-89.66%,,300,0.00%,
MSCI Europe Ex UK Index,Future,Equity,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,0,,,148,0.00%,-7.50%
ERIS Standard GBP 3 Year 0.75% Interest Rate,Future,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,980,63.33%,,470,62.07%,
ERIS Standard GBP 10 Year 1.75% Interest Rate,Future,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,600,-19.79%,,340,25.93%,
ETFs,Option,Equity,Montreal Exchange,Canada,North America,TMX Group,"975,081",6.78%,55.14%,"1,682,270",12.01%,13.86%
Ethanol,Future,Energy,Chicago Board of Trade,United States,North America,CME Group,"9,114",39.70%,-24.81%,"1,708",-10.15%,-63.19%
Ethanol T2 FOB Rotterdam Including Duty (Platts) (Z1),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,"2,782",-17.50%,29.70%,"5,172",3.77%,106.71%
EU Wheat,Future,Agriculture,Chicago Board of Trade,United States,North America,CME Group,"8,320",-65.03%,,586,-39.65%,
MSCI Europe Financials NTR (EUR) Index,Future,Equity,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,0,,,274,0.00%,-10.16%
EUA,Future,Other,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"362,434",14.25%,48.90%,"1,142,191",6.96%,-1.41%
EUA,Option,Other,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"41,925",37.54%,66.44%,"129,637",5.95%,-19.06%
EUA Phase 3 Daily,Future,Other,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"43,063",33.59%,159.42%,0,,
EUA UK Auction,Future,Other,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"8,544",-49.97%,22.44%,0,,
MSCI Europe Growth (FMEG),Future,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,,"1,777",0.00%,
MSCI Europe GTR (USD) (FMGU),Future,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,,"3,714",0.00%,
MSCI Europe Index,Future,Equity,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,0,,,"51,467",0.00%,-12.09%
EUR/CHF,Future,Currencies,Budapest Stock Exchange,Hungary,Europe,CEE Stock Exchange Group,"1,000",66.67%,25.00%,"1,100",57.14%,-84.29%
EUR/CNH,Future,Currencies,Singapore Exchange,Singapore,Asia,Singapore Exchange,787,121.69%,,25,400.00%,1150.00%
MSCI France GTR (EUR) (FMGF),Future,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,,"11,590",0.00%,
EUR/GBP,Future,Currencies,Budapest Stock Exchange,Hungary,Europe,CEE Stock Exchange Group,"2,337",-1.10%,14.00%,300,-52.90%,-95.65%
EUR/GBP,Option,Currencies,North American Derivative Exchange,United States,North America,North American Derivative Exchange,"6,713",50.62%,22.25%,,,
MSCI Hungary (FMHU),Future,Equity,Eurex,Germany,Europe,Eurex,0,,,109,0.00%,
EUR/HUF,Future,Currencies,Budapest Stock Exchange,Hungary,Europe,CEE Stock Exchange Group,"89,222",-52.30%,-54.15%,"193,912",9.58%,-12.07%
MSCI Pacific NTR (USD) (FMAP),Future,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,,421,0.00%,
EUR/Indian Rupee,Future,Currencies,Metropolitan Stock Exchange of India,India,Asia,Metropolitan Stock Exchange of India,"4,506",-50.47%,-86.13%,736,-22.69%,-69.28%
EUR/INR,Future,Currencies,BSE,India,Asia,BSE,"111,831",-15.40%,10.20%,"7,028",-24.22%,147.81%
EUR/JPY,Future,Currencies,Budapest Stock Exchange,Hungary,Europe,CEE Stock Exchange Group,"5,000",-26.47%,,"2,900",18.37%,
EUR/JPY,Option,Currencies,North American Derivative Exchange,United States,North America,North American Derivative Exchange,"23,423",-11.39%,131.98%,,,
MSCI Pakistan (FMPK),Future,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,,81,0.00%,
EUR/PLN,Future,Currencies,Budapest Stock Exchange,Hungary,Europe,CEE Stock Exchange Group,"1,200",50.00%,,"1,600",0.00%,100.00%
EUR/RUB,Future,Currencies,Budapest Stock Exchange,Hungary,Europe,CEE Stock Exchange Group,50,-66.67%,,150,0.00%,
EUR/RUB,Future,Currencies,Moscow Exchange,Russia,Europe,Moscow Exchange,"2,298,512",25.07%,32.00%,"115,144",-25.12%,-76.77%
EUR/RUB,Option,Currencies,Moscow Exchange,Russia,Europe,Moscow Exchange,"10,418",-10.34%,10.79%,"38,110",-15.85%,-59.28%
EUR/TRY,Future,Currencies,Budapest Stock Exchange,Hungary,Europe,CEE Stock Exchange Group,"2,894",-28.79%,65.37%,"13,610",4.82%,-16.89%
EUR/USD,Future,Currencies,Budapest Stock Exchange,Hungary,Europe,CEE Stock Exchange Group,"29,065",-38.01%,-57.05%,"44,153",7.25%,-11.75%
EUR/USD,Future,Currencies,Moscow Exchange,Russia,Europe,Moscow Exchange,"5,163,963",57.24%,184.52%,"321,170",-19.95%,65.42%
EUR/USD,Option,Currencies,Moscow Exchange,Russia,Europe,Moscow Exchange,584,118.73%,219.13%,"1,160",97.95%,138.68%
EUR/USD,Option,Currencies,North American Derivative Exchange,United States,North America,North American Derivative Exchange,"180,372",19.42%,87.56%,,,
MSCI Switzerland Net Total Return CHF - Standard Index,Future,Equity,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,0,-100.00%,,"2,837",0.00%,-26.99%
EUR/USD FX (XEF),Future,Currencies,Taiwan Futures Exchange,Taiwan,Asia,Taiwan Futures Exchange,"8,529",42.22%,,"1,509",55.57%,
EUR/USD Premium Quoted (European Style) – 2 PM Fix,Option,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,"1,073,610",24.00%,74508.06%,"375,909",11.11%,29569.22%
Euribor 3 Year 0.00% Interest Rate,Future,Interest Rates,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,558,-36.16%,27800.00%,941,145.69%,95.63%
Euro,Future,Currencies,B3,Brazil,Latin America,B3,"65,235",107.99%,,"29,106",67.51%,
MSCI Taiwan NTR Index,Future,Equity,Singapore Exchange,Singapore,Asia,Singapore Exchange,0,,,1,0.00%,
Euro,Future,Currencies,Dubai Gold & Commodities Exchange,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,"32,078",93.80%,1042.38%,"1,561",52.29%,748.37%
Euro,Future,Currencies,Korea Exchange,South Korea,Asia,Korea Exchange,"66,500",-0.05%,9.63%,"39,409",3.59%,-6.70%
Euro FX,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,"4,681,034",5.20%,56.31%,"465,272",2.04%,27.49%
MSCI UK NTR (USD) (FMDK),Future,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,,"15,785",0.00%,
Euro FX (European Style),Option,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,90,592.31%,-84.64%,125,76.06%,-95.36%
Euro Stoxx,Future,Equity,Eurex,Germany,Europe,Eurex,"12,443",46.46%,624.27%,"21,604",4.89%,121.76%
Euro Stoxx 50 Ex-Financials Index,Future,Equity,Eurex,Germany,Europe,Eurex,38,,-93.80%,"3,590",-1.05%,51.41%
Euro Stoxx 50 Index,Future,Equity,Eurex,Germany,Europe,Eurex,"20,024,035",16.71%,2.25%,"3,595,027",2.75%,-9.48%
Euro Stoxx 50 Index,Option,Equity,Eurex,Germany,Europe,Eurex,"20,202,728",25.21%,31.44%,"34,247,791",3.45%,3.24%
Euro Stoxx 50 Index - 1st Friday,Option,Equity,Eurex,Germany,Europe,Eurex,"573,828",56.37%,65.45%,"223,365",13.48%,77.46%
Euro Stoxx 50 Index - 2nd Friday,Option,Equity,Eurex,Germany,Europe,Eurex,"239,187",17.42%,6.81%,"49,276",39.34%,34.85%
Euro Stoxx 50 Index - 4th Friday,Option,Equity,Eurex,Germany,Europe,Eurex,"382,006",-36.32%,104.59%,"17,089",106.61%,462.14%
Euro Stoxx 50 Index - 5th Friday,Option,Equity,Eurex,Germany,Europe,Eurex,"11,783",1078.30%,1597.84%,"12,781",1178.10%,1948.24%
Euro Stoxx 50 Index (USD) (FESQ),Future,Equity,Eurex,Germany,Europe,Eurex,1,-99.96%,-98.53%,"20,331",0.00%,28.13%
Euro Stoxx 50 Index Dividend,Future,Equity,Eurex,Germany,Europe,Eurex,"308,452",44.37%,29.38%,"846,899",5.79%,-16.81%
Euro Stoxx 50 Index Dividend,Option,Equity,Eurex,Germany,Europe,Eurex,"31,157",-64.79%,-15.85%,"1,187,110",0.69%,-8.31%
Euro Stoxx 50 Index Total Return (TESX),Future,Equity,Eurex,Germany,Europe,Eurex,"47,930",57.16%,,"160,207",21.83%,
Euro Stoxx Automobiles & Parts,Future,Equity,Eurex,Germany,Europe,Eurex,"3,704",-37.10%,22.28%,"5,241",-4.64%,39.61%
Euro Stoxx Automobiles & Parts,Option,Equity,Eurex,Germany,Europe,Eurex,480,74.55%,357.14%,837,51.63%,84.77%
Euro Stoxx Banks,Future,Equity,Eurex,Germany,Europe,Eurex,"2,764,591",-1.30%,38.86%,"1,170,215",3.69%,79.41%
Euro Stoxx Banks,Option,Equity,Eurex,Germany,Europe,Eurex,"1,520,523",2.91%,-16.79%,"4,171,722",0.89%,16.26%
MSCI USA (FMUS),Future,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,,"2,781",0.00%,546.74%
MSCI USA Equal Weighted NTR (USD) (FMUE),Future,Equity,Eurex,Germany,Europe,Eurex,0,,,507,0.00%,6237.50%
Euro Stoxx Banks Index Dividend,Future,Equity,Eurex,Germany,Europe,Eurex,"3,250",47.73%,,"15,674",22.70%,154.28%
Euro Stoxx Basic Resources,Future,Equity,Eurex,Germany,Europe,Eurex,"1,221",-61.56%,-30.78%,"2,869",7.21%,-2.35%
Euro Stoxx Basic Resources,Option,Equity,Eurex,Germany,Europe,Eurex,40,-50.00%,-56.04%,60,-33.33%,-81.93%
Euro Stoxx Chemicals,Future,Equity,Eurex,Germany,Europe,Eurex,253,-57.41%,-60.41%,651,25.43%,52.10%
Euro Stoxx Chemicals,Option,Equity,Eurex,Germany,Europe,Eurex,3,,-98.43%,0,-100.00%,-100.00%
Euro Stoxx Construction & Materials,Future,Equity,Eurex,Germany,Europe,Eurex,237,-40.45%,-95.11%,507,44.44%,-87.47%
Euro Stoxx Financial Services,Future,Equity,Eurex,Germany,Europe,Eurex,14,-78.79%,-99.83%,80,-2.44%,-98.13%
Euro Stoxx Food and Beverage,Future,Equity,Eurex,Germany,Europe,Eurex,506,18.78%,-82.34%,377,11.21%,-87.38%
MSCI USA Index,Future,Equity,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,0,,-100.00%,906,0.00%,-94.81%
Euro Stoxx Healthcare,Future,Equity,Eurex,Germany,Europe,Eurex,456,-54.35%,-81.40%,702,39.01%,-22.52%
MSCI USA Momentum NTR (USD) (FMUM),Future,Equity,Eurex,Germany,Europe,Eurex,0,-100.00%,,"1,525",0.00%,12608.33%
Euro Stoxx Industrial Goods & Services,Future,Equity,Eurex,Germany,Europe,Eurex,242,-19.06%,-62.54%,646,8.03%,-4.86%
Euro Stoxx Industrial Goods & Services,Option,Equity,Eurex,Germany,Europe,Eurex,10,0.00%,,20,100.00%,
Euro Stoxx Insurance,Future,Equity,Eurex,Germany,Europe,Eurex,"8,220",-25.20%,-9.69%,"7,715",5.58%,-17.93%
